@id,rdf:type,owl:inverseOf,rdfs:label,rdfs:comment,rdfs:domain
togaf:logicalApplicationComponentIsRealizedByPhysicalApplicationComponent,owl:ObjectProperty,togaf:physicalApplicationComponentRealizesLogicalApplicationComponent,is realized by,,
togaf:logicalApplicationComponentImplementsBusinessService,owl:ObjectProperty,togaf:businessServiceIsRealizedThroughLogicalApplicationComponent,implements,,
togaf:logicalApplicationComponentDecomposesLogicalApplicationComponent,owl:ObjectProperty,togaf:logicalApplicationComponentIsDecomposedByLogicalApplicationComponent,decomposes,,
togaf:logicalApplicationComponentIsDecomposedByLogicalApplicationComponent,owl:ObjectProperty,,is decomposed by,,
togaf:logicalApplicationComponentCommunicatesWithLogicalApplicationComponent,owl:SymmetricProperty,,communicates with,,
togaf:logicalApplicationComponentIsUsedByLogicalDataComponent,owl:ObjectProperty,togaf:logicalDataComponentUsesLogicalApplicationComponent,is used by,,
togaf:logicalApplicationComponentIsServedByLogicalTechnologyComponent,owl:ObjectProperty,togaf:logicalTechnologyComponentServesLogicalApplicationComponent,is served by,,
togaf:logicalApplicationComponentImplementsInformationSystemService,owl:ObjectProperty,,implements,,
togaf:logicalDataComponentUsesLogicalApplicationComponent,owl:ObjectProperty,,uses,,
togaf:logicalDataComponentEncapsulatesDataEntity,owl:ObjectProperty,,encapsulates,,
togaf:logicalDataComponentIsRealizedByPhysicalDataComponent,owl:ObjectProperty,togaf:physicalDataComponentRealizesLogicalDataComponent,is realized by,,
togaf:logicalTechnologyComponentServesLogicalApplicationComponent,owl:ObjectProperty,,serves,,
togaf:logicalTechnologyComponentIsRealizedByPhysicalTechnologyComponent,owl:ObjectProperty,togaf:physicalTechnologyComponentRealizesLogicalTechnologyComponent,is realized by,,
togaf:logicalTechnologyComponentSuppliesTechnologyService,owl:ObjectProperty,togaf:technologyServiceIsSuppliedByLogicalTechnologyComponent,supplies,,
togaf:logicalTechnologyComponentProvidesPlatformForBusinessService,owl:ObjectProperty,togaf:businessServiceIsImplementedOnLogicalTechnologyComponent,provides platform for,,
togaf:logicalTechnologyComponentDecomposesLogicalTechnologyComponent,owl:ObjectProperty,togaf:logicalTechnologyComponentIsDecomposedByLogicalTechnologyComponent,decomposes,,
